FREQ;REF_AREA;TABLENAME;INDICATOR;ACTIVITY;NUMBER_EMPL;LEGAL_FORM;SURVIVAL_AGE;TIME_PERIOD;OBS_VALUE;UNIT_MEASURE;UNIT_MULT;DECIMALS;OBS_STATUS;OBS_STATUS_1;CONF_STATUS;CONF_STATUS_1;DOMINANCE;SHARE_SECOND;COMMENT_OBS
A;FR;T11;EMPL;B;E0;_T;_Z;2022;78;PN;0;0;B;;;;;;
A;FR;T11;EMPL;B;E1T4;_T;_Z;2022;591;PN;0;0;B;;;;;;
A;FR;T11;EMPL;B;E5T9;_T;_Z;2022;1104;PN;0;0;B;;;;;;
A;FR;T11;EMPL;B;EGE10;_T;_Z;2022;16596;PN;0;0;B;;;;;;
A;FR;T11;EMPL;B;_T;LL;_Z;2022;18121;PN;0;0;B;;;;;;
A;FR;T11;EMPL;B;_T;PA;_Z;2022;92;PN;0;0;B;;C;O;100;;
A;FR;T11;EMPL;B;_T;SP;_Z;2022;155;PN;0;0;B;;C;D;;;
A;FR;T11;EMPL;B;_T;_T;_Z;2022;18369;PN;0;0;B;;;;;;
A;FR;T11;EMPL;BTSXO_S94;E0;_T;_Z;2022;2160185;PN;0;0;B;;;;;;
A;FR;T11;EMPL;BTSXO_S94;E1T4;_T;_Z;2022;2207453;PN;0;0;B;;;;;;
A;FR;T11;EMPL;BTSXO_S94;E5T9;_T;_Z;2022;1525942;PN;0;0;B;;;;;;
A;FR;T11;EMPL;BTSXO_S94;EGE10;_T;_Z;2022;15276808;PN;0;0;B;;;;;;
A;FR;T11;EMPL;BTSXO_S94;_T;LL;_Z;2022;18054706;PN;0;0;B;;;;;;
A;FR;T11;EMPL;BTSXO_S94;_T;PA;_Z;2022;685538;PN;0;0;B;;;;;;
A;FR;T11;EMPL;BTSXO_S94;_T;SP;_Z;2022;2430145;PN;0;0;B;;;;;;
A;FR;T11;EMPL;BTSXO_S94;_T;_T;_Z;2022;21170389;PN;0;0;B;;;;;;
A;FR;T11;EMPL;C;E0;_T;_Z;2022;103982;PN;0;0;B;;;;;;
A;FR;T11;EMPL;C;E1T4;_T;_Z;2022;136999;PN;0;0;B;;;;;;
A;FR;T11;EMPL;C;E5T9;_T;_Z;2022;156503;PN;0;0;B;;;;;;
A;FR;T11;EMPL;C;EGE10;_T;_Z;2022;2815159;PN;0;0;B;;;;;;
A;FR;T11;EMPL;C;_T;LL;_Z;2022;3078387;PN;0;0;B;;;;;;
A;FR;T11;EMPL;C;_T;PA;_Z;2022;1989;PN;0;0;B;;;;;;
A;FR;T11;EMPL;C;_T;SP;_Z;2022;132268;PN;0;0;B;;;;;;
A;FR;T11;EMPL;C;_T;_T;_Z;2022;3212644;PN;0;0;B;;;;;;
A;FR;T11;EMPL;C10T12;E0;_T;_Z;2022;11804;PN;0;0;B;;;;;;
A;FR;T11;EMPL;C10T12;E1T4;_T;_Z;2022;61912;PN;0;0;B;;;;;;
A;FR;T11;EMPL;C10T12;E5T9;_T;_Z;2022;78913;PN;0;0;B;;;;;;
A;FR;T11;EMPL;C10T12;EGE10;_T;_Z;2022;595363;PN;0;0;B;;;;;;
A;FR;T11;EMPL;C10T12;_T;LL;_Z;2022;709336;PN;0;0;B;;;;;;
A;FR;T11;EMPL;C10T12;_T;PA;_Z;2022;502;PN;0;0;B;;;;;;
A;FR;T11;EMPL;C10T12;_T;SP;_Z;2022;38154;PN;0;0;B;;;;;;
A;FR;T11;EMPL;C10T12;_T;_T;_Z;2022;747992;PN;0;0;B;;;;;;
A;FR;T11;EMPL;C13_14;E0;_T;_Z;2022;17861;PN;0;0;B;;;;;;
A;FR;T11;EMPL;C13_14;E1T4;_T;_Z;2022;4110;PN;0;0;B;;;;;;
A;FR;T11;EMPL;C13_14;E5T9;_T;_Z;2022;3995;PN;0;0;B;;;;;;
A;FR;T11;EMPL;C13_14;EGE10;_T;_Z;2022;54510;PN;0;0;B;;;;;;
A;FR;T11;EMPL;C13_14;_T;LL;_Z;2022;62440;PN;0;0;B;;;;;;
A;FR;T11;EMPL;C13_14;_T;PA;_Z;2022;70;PN;0;0;B;;;;;;
A;FR;T11;EMPL;C13_14;_T;SP;_Z;2022;17966;PN;0;0;B;;;;;;
A;FR;T11;EMPL;C13_14;_T;_T;_Z;2022;80476;PN;0;0;B;;;;;;
A;FR;T11;EMPL;C15;E0;_T;_Z;2022;2681;PN;0;0;B;;;;;;
A;FR;T11;EMPL;C15;E1T4;_T;_Z;2022;996;PN;0;0;B;;C;D;;;
A;FR;T11;EMPL;C15;E5T9;_T;_Z;2022;658;PN;0;0;B;;;;;;
A;FR;T11;EMPL;C15;EGE10;_T;_Z;2022;35093;PN;0;0;B;;C;D;;;
A;FR;T11;EMPL;C15;_T;LL;_Z;2022;36702;PN;0;0;B;;C;D;;;
A;FR;T11;EMPL;C15;_T;PA;_Z;2022;0;PN;0;0;B;;C;A;;;
A;FR;T11;EMPL;C15;_T;SP;_Z;2022;2726;PN;0;0;B;;C;D;;;
A;FR;T11;EMPL;C15;_T;_T;_Z;2022;39428;PN;0;0;B;;;;;;
A;FR;T11;EMPL;C16;E0;_T;_Z;2022;6708;PN;0;0;B;;;;;;
A;FR;T11;EMPL;C16;E1T4;_T;_Z;2022;4690;PN;0;0;B;;;;;;
A;FR;T11;EMPL;C16;E5T9;_T;_Z;2022;5371;PN;0;0;B;;;;;;
A;FR;T11;EMPL;C16;EGE10;_T;_Z;2022;52370;PN;0;0;B;;;;;;
A;FR;T11;EMPL;C16;_T;LL;_Z;2022;61675;PN;0;0;B;;;;;;
A;FR;T11;EMPL;C16;_T;PA;_Z;2022;152;PN;0;0;B;;C;D;;;
A;FR;T11;EMPL;C16;_T;SP;_Z;2022;7313;PN;0;0;B;;C;D;;;
A;FR;T11;EMPL;C16;_T;_T;_Z;2022;69139;PN;0;0;B;;;;;;
A;FR;T11;EMPL;C17_18;E0;_T;_Z;2022;8688;PN;0;0;B;;;;;;
A;FR;T11;EMPL;C17_18;E1T4;_T;_Z;2022;6684;PN;0;0;B;;;;;;
A;FR;T11;EMPL;C17_18;E5T9;_T;_Z;2022;5901;PN;0;0;B;;;;;;
A;FR;T11;EMPL;C17_18;EGE10;_T;_Z;2022;94583;PN;0;0;B;;;;;;
A;FR;T11;EMPL;C17_18;_T;LL;_Z;2022;107403;PN;0;0;B;;;;;;
A;FR;T11;EMPL;C17_18;_T;PA;_Z;2022;110;PN;0;0;B;;;;;;
A;FR;T11;EMPL;C17_18;_T;SP;_Z;2022;8342;PN;0;0;B;;;;;;
A;FR;T11;EMPL;C17_18;_T;_T;_Z;2022;115855;PN;0;0;B;;;;;;
A;FR;T11;EMPL;C19;E0;_T;_Z;2022;0;PN;0;0;B;;;;;;
A;FR;T11;EMPL;C19;E1T4;_T;_Z;2022;3;PN;0;0;B;;C;A;;;
A;FR;T11;EMPL;C19;E5T9;_T;_Z;2022;0;PN;0;0;B;;;;;;
A;FR;T11;EMPL;C19;EGE10;_T;_Z;2022;18098;PN;0;0;B;;C;D;;;
A;FR;T11;EMPL;C19;_T;LL;_Z;2022;18101;PN;0;0;B;;;;;;
A;FR;T11;EMPL;C19;_T;PA;_Z;2022;0;PN;0;0;B;;;;;;
A;FR;T11;EMPL;C19;_T;SP;_Z;2022;0;PN;0;0;B;;;;;;
A;FR;T11;EMPL;C19;_T;_T;_Z;2022;18101;PN;0;0;B;;;;;;
A;FR;T11;EMPL;C20;E0;_T;_Z;2022;1426;PN;0;0;B;;;;;;
A;FR;T11;EMPL;C20;E1T4;_T;_Z;2022;1649;PN;0;0;B;;;;;;
A;FR;T11;EMPL;C20;E5T9;_T;_Z;2022;1638;PN;0;0;B;;;;;;
A;FR;T11;EMPL;C20;EGE10;_T;_Z;2022;197860;PN;0;0;B;;;;;;
A;FR;T11;EMPL;C20;_T;LL;_Z;2022;201256;PN;0;0;B;;C;D;;;
A;FR;T11;EMPL;C20;_T;PA;_Z;2022;0;PN;0;0;B;;C;A;;;
A;FR;T11;EMPL;C20;_T;SP;_Z;2022;1317;PN;0;0;B;;C;D;;;
A;FR;T11;EMPL;C20;_T;_T;_Z;2022;202573;PN;0;0;B;;;;;;
A;FR;T11;EMPL;C21;E0;_T;_Z;2022;15;PN;0;0;B;;;;;;
A;FR;T11;EMPL;C21;E1T4;_T;_Z;2022;101;PN;0;0;B;;;;;;
A;FR;T11;EMPL;C21;E5T9;_T;_Z;2022;108;PN;0;0;B;;;;;;
A;FR;T11;EMPL;C21;EGE10;_T;_Z;2022;96752;PN;0;0;B;;;;;;
A;FR;T11;EMPL;C21;_T;LL;_Z;2022;96969;PN;0;0;B;;;;;;
A;FR;T11;EMPL;C21;_T;PA;_Z;2022;0;PN;0;0;B;;;;;;
A;FR;T11;EMPL;C21;_T;SP;_Z;2022;7;PN;0;0;B;;;;;;
A;FR;T11;EMPL;C21;_T;_T;_Z;2022;96976;PN;0;0;B;;;;;;
A;FR;T11;EMPL;C22;E0;_T;_Z;2022;564;PN;0;0;B;;;;;;
A;FR;T11;EMPL;C22;E1T4;_T;_Z;2022;1619;PN;0;0;B;;;;;;
A;FR;T11;EMPL;C22;E5T9;_T;_Z;2022;2744;PN;0;0;B;;;;;;
A;FR;T11;EMPL;C22;EGE10;_T;_Z;2022;139347;PN;0;0;B;;;;;;
A;FR;T11;EMPL;C22;_T;LL;_Z;2022;143744;PN;0;0;B;;;;;;
A;FR;T11;EMPL;C22;_T;PA;_Z;2022;11;PN;0;0;B;;C;A;;;
A;FR;T11;EMPL;C22;_T;SP;_Z;2022;518;PN;0;0;B;;C;D;;;
A;FR;T11;EMPL;C22;_T;_T;_Z;2022;144273;PN;0;0;B;;;;;;
A;FR;T11;EMPL;C23;E0;_T;_Z;2022;6830;PN;0;0;B;;;;;;
A;FR;T11;EMPL;C23;E1T4;_T;_Z;2022;3598;PN;0;0;B;;;;;;
A;FR;T11;EMPL;C23;E5T9;_T;_Z;2022;3719;PN;0;0;B;;;;;;
A;FR;T11;EMPL;C23;EGE10;_T;_Z;2022;109023;PN;0;0;B;;;;;;
A;FR;T11;EMPL;C23;_T;LL;_Z;2022;115937;PN;0;0;B;;;;;;
A;FR;T11;EMPL;C23;_T;PA;_Z;2022;4;PN;0;0;B;;;;;;
A;FR;T11;EMPL;C23;_T;SP;_Z;2022;7229;PN;0;0;B;;;;;;
A;FR;T11;EMPL;C23;_T;_T;_Z;2022;123170;PN;0;0;B;;;;;;
A;FR;T11;EMPL;C24_25;E0;_T;_Z;2022;5933;PN;0;0;B;;;;;;
A;FR;T11;EMPL;C24_25;E1T4;_T;_Z;2022;12650;PN;0;0;B;;;;;;
A;FR;T11;EMPL;C24_25;E5T9;_T;_Z;2022;20096;PN;0;0;B;;;;;;
A;FR;T11;EMPL;C24_25;EGE10;_T;_Z;2022;331474;PN;0;0;B;;;;;;
A;FR;T11;EMPL;C24_25;_T;LL;_Z;2022;363774;PN;0;0;B;;C;D;;;
